time=09:17:28.152365; count=2; size=1M; cpu=2.16 1.16 0.87 7/612 60351
time=09:17:32.989987; count=2; size=1M; cpu=2.15 1.18 0.88 3/609 60664
time=09:19:45.966045; count=2; size=1M; cpu=1.12 0.99 0.84 9/606 61640
time=09:19:51.483517; count=2; size=1M; cpu=1.19 1.01 0.85 2/606 61995
time=09:19:56.413470; count=2; size=1M; cpu=1.26 1.02 0.85 5/605 62351
time=09:20:03.869119; count=2; size=1M; cpu=1.30 1.04 0.86 5/600 62704
time=09:20:09.252533; count=2; size=1M; cpu=1.67 1.12 0.89 3/605 63064
time=09:20:16.040489; count=2; size=1M; cpu=1.78 1.15 0.90 5/605 63467
time=09:20:21.006467; count=2; size=1M; cpu=1.72 1.15 0.90 8/604 63823
time=09:20:26.165426; count=2; size=1M; cpu=1.66 1.15 0.90 3/602 64136
time=09:23:33.479855; count=2; size=1M; cpu=0.95 0.95 0.87 1/605 65120
time=09:23:38.742362; count=2; size=1M; cpu=0.87 0.94 0.86 4/604 65475
time=09:23:44.226800; count=2; size=1M; cpu=0.96 0.96 0.87 5/604 65831
time=09:23:52.210930; count=2; size=1M; cpu=1.21 1.01 0.89 5/600 66186
time=09:23:57.275269; count=2; size=1M; cpu=1.27 1.02 0.89 3/604 66546
time=09:24:03.128921; count=2; size=1M; cpu=1.62 1.11 0.92 3/604 66950
time=09:24:08.322559; count=2; size=1M; cpu=1.57 1.10 0.92 7/603 67306
time=09:24:13.537011; count=2; size=1M; cpu=1.61 1.12 0.93 7/601 67619
